B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDWI,NDVI,output1
0.0284,0.0364,0.053,0.0567,0.0834,0.1984,0.2344,0.2172,0.2475,0.2328,0.1603,0.0851,-0.607698,0.5859803,0
0.0284,0.0277,0.0442,0.036,0.0834,0.1984,0.2344,0.2332,0.2475,0.2328,0.1603,0.0851,-0.6813266,0.73254085,0
0.0284,0.0257,0.0377,0.0326,0.0834,0.1984,0.2344,0.2066,0.2475,0.2328,0.1603,0.0851,-0.69136304,0.72742474,0
0.0284,0.0316,0.0495,0.0434,0.0808,0.1832,0.2248,0.2352,0.2416,0.2328,0.1459,0.0806,-0.65226555,0.68844223,0
0.0284,0.0342,0.0599,0.0506,0.0808,0.1832,0.2248,0.2933,0.2416,0.2328,0.1459,0.0806,-0.6608154,0.7057284,0
0.0284,0.0342,0.0599,0.0506,0.0881,0.2298,0.2662,0.2933,0.3028,0.2328,0.1611,0.088,-0.6608154,0.7057284,0
0.0284,0.0335,0.0524,0.0404,0.0881,0.2298,0.2662,0.2991,0.3028,0.2328,0.1611,0.088,-0.7018492,0.76200294,0
0.039,0.0329,0.0511,0.0363,0.0742,0.2015,0.2457,0.3024,0.2597,0.2284,0.145,0.0763,-0.71089107,0.785651,0
0.039,0.0334,0.0525,0.039,0.0742,0.2015,0.2457,0.2864,0.2597,0.2284,0.145,0.0763,-0.6901741,0.76029503,0
0.039,0.0373,0.0582,0.0455,0.0814,0.1739,0.2006,0.2986,0.2281,0.2284,0.1457,0.0877,-0.6737668,0.735542,0
0.039,0.0602,0.0735,0.0681,0.0814,0.1739,0.2006,0.2058,0.2281,0.2284,0.1457,0.0877,-0.4736842,0.50273824,0
0.039,0.0507,0.0675,0.0682,0.0917,0.1656,0.1848,0.1318,0.2022,0.2284,0.1511,0.1047,-0.32262918,0.318,0
0.039,0.0304,0.0385,0.0341,0.0917,0.1656,0.1848,0.0963,0.2022,0.2284,0.1511,0.1047,-0.4287834,0.47699386,0
0.0595,0.0243,0.0395,0.0287,0.099,0.1741,0.1986,0.1616,0.2109,0.1873,0.1649,0.122,-0.60716057,0.698371,0
